cod_rgi,ano,Expectativa de anos de estudo aos 18 anos de idade,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda,Razão de dependência,Renda per capita,Taxa de envelhecimento,Taxa de fecundidade total,Índice de Gini,razao_infantil,razao_idosos,poupanca_deflacionada_per_capta
310062,2000,8.905,0.5972222222222222,0.4308888888888889,0.774,0.6411111111111112,53.232777777777784,438.8538888888889,5.855,2.5472222222222225,0.5361111111111111,0.190335457120818,0.05855372938397595,57.39170517479068
310062,2010,9.418333333333333,0.7087777777777777,0.6034999999999999,0.8416666666666667,0.7024444444444444,45.742222222222225,642.1111111111111,8.341666666666667,2.1644444444444444,0.4872222222222222,0.15417427072994175,0.08359172330569023,596.0709045285635
310063,1991,7.76,0.35418181818181815,0.1318181818181818,0.6874545454545454,0.5068181818181818,80.99636363636364,196.41363636363639,3.452727272727273,3.958181818181818,0.5409090909090909,0.26725773621471355,0.03465318963437065,1.3755027453378192e-08
310063,2000,9.082727272727272,0.5324545454545455,0.34727272727272723,0.761909090909091,0.5736363636363636,64.37181818181818,309.53909090909093,5.002727272727273,3.13,0.6081818181818182,0.2230479494424085,0.050040798480851856,33.59326829349798
310063,2010,9.229090909090909,0.6626363636363637,0.5708181818181818,0.8113636363636364,0.6291818181818182,52.38363636363636,416.3027272727273,7.314545454545454,2.5345454545454547,0.49272727272727274,0.18021291142787418,0.07323563424750965,407.7397138597589
310064,1991,8.966,0.492,0.2718,0.7363999999999999,0.6003999999999999,59.279999999999994,335.662,4.826,2.6420000000000003,0.528,0.2191020436018361,0.048270683051942286,9.266651782688788e-08
310064,2000,9.193999999999999,0.6288,0.46719999999999995,0.8046,0.6628000000000001,52.870000000000005,495.95799999999997,5.704,2.526,0.55,0.19056831900306967,0.05704898732331405,73.77074538214009
310064,2010,8.860000000000001,0.7043999999999999,0.5791999999999999,0.8442000000000001,0.7152000000000001,45.82,689.856,7.76,2.298,0.52,0.15859591687149288,0.07839130973150346,533.8725519907641
310065,1991,8.556999999999999,0.44279999999999997,0.2219,0.7068,0.5662,60.584500000000006,277.637,5.592499999999999,2.6105,0.5035000000000001,0.21438085093369025,0.05592736425445205,6.561440766315889e-08
310065,2000,9.0295,0.60445,0.44205000000000005,0.78525,0.64065,51.507000000000005,447.8935,6.8725,2.2664999999999997,0.4885,0.1817438204391431,0.06872179348962637,73.07818149007367
